guarantee,discount,call,agenda,win,lottery,summary,subscribe,free,meeting,invoice,client,prize,schedule,report,team,bonus,project,gift,exclusive,class
4,4,1,1,3,3,2,4,3,0,0,0,4,2,0,5,4,0,3,5,ham
1,0,5,3,5,0,3,0,3,4,4,5,0,2,4,4,1,4,2,0,ham
2,2,5,5,1,3,3,2,4,5,3,4,2,4,3,4,4,5,2,3,ham
0,2,3,4,1,2,3,2,5,5,3,4,1,5,0,5,2,4,1,4,ham
1,0,3,3,3,3,5,0,0,4,4,4,2,4,4,4,5,5,1,2,ham
0,4,1,0,4,3,0,3,1,2,4,4,5,1,1,5,3,2,3,4,spam
5,5,4,0,4,5,0,4,3,2,1,1,5,3,1,1,5,0,5,3,spam
4,4,2,2,0,5,2,3,3,0,2,5,3,3,2,0,3,0,4,3,spam
5,2,5,4,2,0,5,1,0,1,3,5,3,4,4,4,5,5,4,4,ham
0,1,4,5,0,4,3,0,1,3,4,4,0,3,3,3,2,4,5,0,ham
2,2,5,3,3,5,5,1,1,3,3,5,0,4,5,3,5,4,1,1,ham
5,4,0,2,3,4,2,3,4,0,2,2,0,2,1,3,5,1,3,3,spam
2,0,5,5,2,4,5,0,1,3,4,3,0,5,5,5,0,4,1,5,ham
3,4,3,2,4,3,5,3,4,4,3,1,4,4,0,0,5,2,5,3,spam
2,0,5,3,5,0,5,1,0,3,3,4,4,5,5,5,1,4,1,3,spam
3,4,5,2,5,3,4,4,3,1,0,4,4,0,3,3,4,2,4,5,spam
5,4,0,4,3,3,2,5,3,2,5,2,3,2,3,1,4,2,3,3,spam
5,3,2,2,5,4,3,5,3,0,0,0,5,3,2,1,3,2,4,3,spam
4,3,5,0,3,4,2,3,5,1,2,2,3,0,3,1,3,1,0,4,spam
0,2,3,5,1,5,3,0,1,5,4,4,1,3,5,4,5,3,1,3,ham
5,2,3,4,2,0,4,3,1,3,3,3,2,5,3,3,3,4,1,5,ham
4,2,5,4,5,3,2,3,5,1,2,3,4,3,3,2,4,4,4,4,spam
3,1,3,4,2,0,5,1,2,3,5,4,3,5,4,3,3,3,5,5,ham
5,4,1,2,3,4,1,4,5,0,1,0,4,2,0,0,4,2,4,5,spam
2,0,3,4,0,1,3,2,3,5,3,3,2,4,3,3,1,4,1,1,ham
3,2,1,5,5,5,2,4,5,3,2,4,4,2,2,2,3,0,4,5,spam
5,0,5,5,0,2,3,0,2,3,3,3,1,5,3,3,2,4,1,3,ham
3,3,0,0,4,4,1,0,4,5,0,3,4,3,2,0,5,2,3,5,spam
4,5,3,3,3,5,2,5,3,1,3,0,5,3,1,2,3,4,3,5,spam
5,0,4,3,2,0,3,0,1,3,3,5,5,5,3,3,0,5,0,1,ham
4,4,2,1,3,3,2,3,5,4,3,2,3,0,1,5,3,5,4,5,spam
4,3,2,0,5,3,5,5,4,1,0,4,5,4,2,2,3,1,4,5,spam
5,3,1,2,5,4,0,5,4,0,2,1,0,2,0,2,4,3,3,3,spam
4,5,3,5,5,4,0,4,4,3,1,5,4,1,5,0,5,5,4,4,spam
0,2,3,4,1,0,5,2,4,4,4,4,4,4,3,5,0,4,2,3,ham
3,0,5,5,0,1,5,3,2,4,3,3,3,2,3,3,1,4,5,5,ham
5,5,0,2,4,1,1,5,3,1,5,0,5,0,1,0,5,1,2,3,spam
4,5,1,3,5,4,2,5,5,4,5,0,3,2,2,3,5,4,4,3,ham
3,5,0,4,2,5,5,4,5,0,1,3,5,1,1,3,3,5,5,3,ham
3,3,3,3,3,5,1,0,4,1,4,2,3,2,1,2,4,1,4,4,spam
5,3,5,2,5,4,0,0,3,0,0,0,3,4,4,0,4,1,5,5,spam
1,4,3,5,0,5,5,1,3,2,4,5,1,5,4,4,1,3,3,4,ham
4,3,2,3,3,4,1,3,3,2,1,4,4,0,5,0,3,1,4,5,spam
4,4,0,4,3,3,2,4,3,4,1,1,4,2,0,1,3,1,5,5,spam
2,0,5,3,1,2,3,0,2,5,5,5,3,3,3,3,1,5,1,2,ham
2,5,4,3,1,4,3,1,5,4,2,5,1,3,5,5,4,3,0,4,ham
5,0,1,2,4,4,1,3,3,2,2,4,3,3,5,5,3,3,4,5,spam
3,5,4,0,3,4,2,0,5,0,4,1,5,1,0,1,4,3,4,3,spam
1,0,5,5,2,5,4,4,1,4,4,5,5,4,5,3,5,4,1,0,ham
2,0,3,4,0,0,3,4,5,3,5,3,5,3,4,5,0,5,0,0,ham
5,2,4,0,5,2,5,1,1,3,5,5,1,5,5,5,2,5,1,1,ham
4,5,0,5,3,2,3,3,3,3,0,3,3,5,0,0,4,0,3,4,spam
3,5,4,4,4,5,2,5,3,0,1,3,5,1,1,2,4,4,4,5,spam
3,5,2,0,3,3,2,4,4,0,1,1,4,0,3,5,5,0,5,3,spam
3,4,0,0,3,3,2,5,3,3,3,1,3,1,2,3,5,3,5,3,ham
1,2,2,3,4,0,3,4,3,5,5,2,0,4,5,5,3,4,2,1,ham
5,5,1,0,5,4,1,3,5,0,0,1,3,2,0,3,5,5,4,3,spam
0,1,5,5,2,0,4,2,0,4,4,3,1,3,4,5,5,4,0,4,ham
5,3,5,1,4,5,1,5,3,3,2,5,4,3,1,5,3,2,2,4,ham
4,4,0,1,5,5,4,5,3,0,2,0,5,2,0,1,5,3,4,3,spam
4,1,3,3,3,2,4,1,1,4,5,3,0,4,3,4,4,4,0,2,ham
5,3,0,1,5,3,4,3,4,1,2,4,5,2,2,4,1,0,5,4,spam
4,5,4,5,2,2,5,0,1,5,4,5,2,3,4,3,0,4,1,2,ham
3,2,3,4,1,1,3,2,1,5,5,4,0,5,5,5,0,4,0,0,spam
2,4,3,3,2,4,4,1,0,3,5,5,5,5,3,3,1,5,0,0,ham
5,1,3,5,0,1,4,0,4,3,4,4,5,3,5,3,2,5,1,5,ham
2,4,4,3,4,0,4,2,0,5,5,4,2,3,4,2,0,5,2,3,ham
5,5,1,1,0,3,0,3,3,1,1,1,3,1,1,5,4,1,3,4,ham
5,2,4,3,2,5,3,4,1,3,5,3,2,4,5,5,3,3,3,4,ham
2,5,3,4,2,1,4,5,2,2,5,5,1,5,5,0,3,5,1,1,ham
4,4,1,3,4,0,2,4,5,2,0,0,5,2,2,2,5,0,5,4,spam
3,5,0,3,4,3,2,3,5,0,2,1,3,2,3,0,4,2,3,4,spam
1,1,2,3,5,1,5,0,1,4,3,1,2,3,5,3,2,0,4,0,ham
4,5,0,2,3,3,2,3,3,2,2,3,4,2,3,0,5,1,4,3,spam
2,2,4,1,3,2,1,1,4,4,3,4,2,4,3,5,1,3,2,1,ham
5,3,4,4,1,0,3,5,4,4,0,4,2,0,1,4,1,3,5,0,ham
4,0,3,5,1,0,3,0,5,4,1,3,2,3,4,3,1,4,3,0,ham
3,5,1,2,1,5,2,4,4,1,5,3,3,4,4,0,3,0,5,4,spam
4,3,2,5,0,3,2,2,4,5,1,0,3,2,2,2,4,0,5,3,spam
3,2,4,4,4,0,3,2,1,1,5,3,5,0,5,5,0,4,0,1,ham
3,3,1,0,3,3,1,5,5,2,1,0,5,0,0,1,5,0,4,5,spam
4,3,0,1,0,3,5,4,5,2,0,1,2,0,3,2,3,1,4,4,spam
1,0,4,5,5,1,5,0,0,3,5,4,1,5,5,3,1,3,0,0,ham
0,1,3,4,0,3,5,2,1,3,4,3,1,3,3,3,2,4,3,3,ham
4,5,2,2,5,5,5,4,3,1,1,3,5,0,1,1,2,4,3,4,spam
3,4,4,2,3,5,2,3,5,3,3,1,4,0,5,3,1,2,3,2,spam
2,1,4,4,2,1,4,0,4,4,4,3,0,4,3,3,0,4,1,0,ham
5,3,2,0,4,3,1,4,4,0,0,2,3,5,2,0,4,2,3,5,ham
4,4,4,0,4,3,2,5,5,0,5,2,4,2,1,4,5,1,5,4,spam
3,5,0,2,5,3,2,5,4,2,3,2,4,0,1,5,5,1,4,4,spam
5,0,5,3,4,3,3,4,0,4,4,5,2,5,3,4,2,5,5,2,ham
2,2,3,5,0,2,5,2,1,5,5,5,1,4,5,5,0,4,1,2,ham
3,5,1,2,3,3,0,5,5,4,5,2,5,1,2,2,5,2,0,3,spam
0,2,3,4,5,1,3,1,5,4,5,3,0,5,3,5,0,5,1,2,ham
4,2,2,5,5,3,4,1,2,5,3,4,2,4,4,5,4,4,0,1,ham
2,4,4,4,2,2,5,0,2,5,5,3,2,3,4,3,1,5,1,0,ham
1,3,5,1,3,4,1,5,5,0,2,1,5,2,2,5,4,0,5,4,spam
5,3,4,1,5,3,1,4,4,2,3,1,5,0,1,0,4,1,5,3,spam
3,3,1,0,4,4,3,3,4,2,3,2,3,0,2,0,5,1,3,4,spam
3,5,0,1,5,5,2,3,3,0,2,1,5,1,5,2,4,0,5,5,spam
